problem, populationSize, maxEvaluations, elapsedTime [ms]
ZDT1, 10, 1000, 123
ZDT1, 10, 10000, 318
ZDT1, 10, 100000, 723
ZDT1, 100, 1000, 17
ZDT1, 100, 10000, 148
ZDT1, 100, 100000, 1124
ZDT1, 1000, 1000, 8
ZDT1, 1000, 10000, 181
ZDT1, 1000, 100000, 3079
ZDT1, 10000, 1000, 163
ZDT1, 10000, 10000, 172
ZDT1, 10000, 100000, 7976
ZDT2, 10, 1000, 10
ZDT2, 10, 10000, 92
ZDT2, 10, 100000, 675
ZDT2, 100, 1000, 17
ZDT2, 100, 10000, 107
ZDT2, 100, 100000, 938
ZDT2, 1000, 1000, 4
ZDT2, 1000, 10000, 150
ZDT2, 1000, 100000, 2978
ZDT2, 10000, 1000, 131
ZDT2, 10000, 10000, 145
ZDT2, 10000, 100000, 7426
ZDT3, 10, 1000, 10
ZDT3, 10, 10000, 74
ZDT3, 10, 100000, 694
ZDT3, 100, 1000, 10
ZDT3, 100, 10000, 100
ZDT3, 100, 100000, 957
ZDT3, 1000, 1000, 5
ZDT3, 1000, 10000, 179
ZDT3, 1000, 100000, 3153
ZDT3, 10000, 1000, 158
ZDT3, 10000, 10000, 153
ZDT3, 10000, 100000, 8346
